name	address	website	archive_oldest	archive_newest	offers repair	First Price Date	First Price	First Price (Inflation adjusted)	First Price Source	Current Price Date	Current Price	Current Price Source	lat	lon
Galaxy	Hintere Zollamtsstraße 11, 1030 Wien	http://galaxy-fahrraeder.at/			Yes	2019-10-18	69,9		https://web.archive.org/web/20191018220518/http://www.galaxy-fahrraeder.at/service/reparatur-service	2023-09-26	124	https://web.archive.org/web/20230926093150/https://www.galaxy-fahrraeder.at/service/reparatur-service	48.2101432	16.3870805
Waffenradspezialist	Schlöglgasse 19, 1120 Wien	https://www.waffenrad.at/			Yes	2015-09-12	55		https://web.archive.org/web/20150912021915/http://www.waffenrad.at/fahradservice.htm	2025-07-23	55	https://www.waffenrad.at/fahradservice.htm	48.1679297	16.3129763
Cooperative Fahrrad	Gumpendorfer Straße 111, 1060 Wien	https://www.fahrrad.co.at/			No prices online							https://www.fahrrad.co.at/werkstatt/service-reparaturen/	48.1909686	16.3469517
Radhaus Singer	Reichsratsstraße 13, 1010 Wien	https://radhaussinger.com			No prices online							https://radhaussinger.com/	48.2129915	16.3587052
Rad & Tat	Fultonstraße 5-11/7/R1, 1210 Wien	https://radundtatwien.at			Yes	2020-09-29	159,9	202,11	https://web.archive.org/web/20200929112139/https://radundtatwien.at/fahrradservice-preise-wien/	2025-07-23	195,9	https://radundtatwien.at/fahrradservice-preise-wien/	48.2506588	16.4117445
Das Taschenfahrrad	Leopoldsgasse 28, 1020 Wien	https://www.dastaschenfahrrad.com/			Yes	2018-06-13	60	78,11	https://web.archive.org/web/20180613094010/http://www.dastaschenfahrrad.com/service.html	2025-07-23	90	https://www.dastaschenfahrrad.com/service.html	48.2181549	16.3770864
Bernhard Kohl Fahrrad & Fitness	Triester Straße 282-284, 1230 Wien	https://bernhardkohl.at/			Yes	2018-11-22	279	363,23	https://web.archive.org/web/20181122065447/https://bernhardkohl.at/service/radservice/	2025-07-23	360	https://bernhardkohl.at/werkstatt/rad-service/fully-premium-service	48.1324221	16.3220649
Radsport RIH	Praterstraße 48, 1020 Wien	https://radsport-rih.webnode.at			Does not offer service								48.2155277	16.3863845
Vello Bike	Neubaugasse 33, 1070 Wien	https://vello.bike			No prices online								48.2014934	16.3487497
Das Radhaus	Mittersteig 4, 1050 Wien	http://dasradhaus.at/			No prices online								48.1918909	16.3636715
Radort	Tandelmarktgasse 9, 1020 Wien	http://radort.at	2014-11-29	2019-11-28	No prices online	2016-04-02			https://web.archive.org/web/20160402210544/http://radort.at/?page_id=138	2019-02-10		https://web.archive.org/web/20190210143241/http://radort.at/?page_id=138	48.2173314	16.3792724
Dorfinger	Galvanigasse 19, 1210 Wien	https://www.2rad-dorfinger.at/			No prices online					2025-07-23		https://www.2rad-dorfinger.at/werkstatt	48.263912	16.3935362
VELETAGE - Salon für Radkultur	Praterstraße 13, 1020 Wien	https://veletage.com/			Yes	2025-07-25	35		https://web.archive.org/web/20250725015212/https://veletage.com/bike-fitting-and-co/Fahrradservice/372709?variant=2094620	2025-07-25	35	https://veletage.com/bike-fitting-and-co/Fahrradservice/372709?variant=2094620	48.2133232	16.3814861
Radmechaniker	Gredlerstraße 2, 1020 Wien	https://www.radmechaniker.at/			Yes	2017-08-27	96		https://web.archive.org/web/20170827090028/http://www.radmechaniker.at/werkstatt/	2018-07-24	79	https://web.archive.org/web/20180724114927/http://www.radmechaniker.at/werkstatt/	48.2137732	16.3781936
